cleaning,polarity,sentimen
"Pemerintah gaspol dorong inovasi kendaraan listrik, masa depan Indonesia makin cerah!",0.0,Netral
Pemerintah dengan pemeriksaan kesehatan gratis menunjukkan kepedulian terhadap kualitas hidup rakyat Indonesia PemerintahSehatkanBangsa,0.4,Positif
"Opini cuma omdo. 78,5 persen penduduk Timor Timur ingin merdeka atau memisahkan diri, dan menolak tawaran otonomi khusus dari Indonesia ngomong industri yg suport manufaktur pesawat? Pendaannya saja di hentikan oleh pemerintah karena krismon Terus semua salahin Bj Habibie?",0.18571428571428572,Positif
Program ini adalah bagian dari upaya besar pemerintah dalam memperbaiki sistem kesehatan Indonesia PemerintahSehatkanBangsa,0.8,Positif
"Pemerintah indonesia ni knp demen bgt pake ai sih, generasi emas preketek kalau masalah edit² gambar larinya ke ai",0.3,Positif
"Antrean pembelian gas melon 3 kg di berbagai daerah di Indonesia sejak 1 Februari lalu terjadi karena rakyat harus membeli ke agen dan tidak lagi ke pengecer. Pemerintah berpendapat jika pembelian elpiji 3 kg langsung di agen, maka subsidi akan tepat sasaran. Namun hal ini",0.12857142857142856,Positif
"Wacana kelola tambang oleh pemerintah untuk universitas benar-benar menimbulkan tanda tanya: apa bentuk kerjasamanya? Dengarkan selengkapnya SuarAkademia terbaru bersama Rektor , Fathul Wahid di sini: KampusTambang",0.35000000000000003,Positif
Lah kan dia udah sering keritik pemerintah? Berarti udah sadar dong kenapa masih diserang bjirrrr kalian beneran milih pemimpin berdasarkan idola ya bukan beneran pengen Indonesia maju?,0.2,Positif
Indonesia menuju era baru dengan dukungan pemerintah di industri kendaraan listrik,0.13636363636363635,Positif
"Mulai 2025 Siswa Lulus Dapat Ijazah Elektronik, Bisa Cetak Mandiri Pemerintah mulai menerapkan aturan ijazah elektronik dan cetak mandiri tahun 2025 untuk meminimalisasi pemalsuan ijazah di Indonesia. ",0.0,Netral
"MASYARAKAT UDAH MENDERITA KARENA PEMERINTAH GOBLOK BOROS ANGGARAN DEMI PROYEK NGASAL MASIH DITUDUH MAU INDONESIA INI GAK MAJU???? MULUTMU COOKKK ASELI LAYAK DIBURU ORANG MACEM LU GINI, HATI2 KALO KELUAR RUMAH LU ANJING!!",-0.018750000000000006,Negatif
Indonesia bersiap menjadi pemimpin global dalam industri kendaraan listrik berkat kebijakan visioner dari pemerintah kita,0.1,Positif
Pemerintah berkomitmen untuk memberikan akses kesehatan yang lebih merata di seluruh Indonesia PemerintahSehatkanBangsa,0.5,Positif
Indonesia siap cetar di industri kendaraan listrik berkat kebijakan visioner dari pemerintah kita,0.2,Positif
akhir-akhir ini malas buka x karena berita yang menyangkut Indonesia sangat tai. berdampak ke mood gue yang jadi jelek karena muak banget sama pemerintah tai,-0.11000000000000001,Negatif
